,Month,DayofMonth,DayOfWeek,CRSDepTime,UniqueCarrier,Class
804,1,3,4,2010,WN,0
806,1,3,4,1330,WN,0
807,1,3,4,955,WN,1
808,1,3,4,1235,WN,0
809,1,3,4,1735,WN,0
810,1,3,4,700,WN,1
811,1,3,4,2115,WN,0
812,1,3,4,1600,WN,0
813,1,3,4,1325,WN,1
814,1,3,4,1915,WN,0
815,1,3,4,835,WN,0
816,1,3,4,1835,WN,0
817,1,3,4,1540,WN,0
819,1,3,4,1245,WN,0
820,1,3,4,1845,WN,0
821,1,3,4,1715,WN,0
822,1,3,4,600,WN,0
823,1,3,4,935,WN,0
824,1,3,4,2135,WN,0
825,1,3,4,815,WN,1
826,1,3,4,645,WN,0
827,1,3,4,1510,WN,0
828,1,3,4,2010,WN,0
829,1,3,4,1725,WN,1
830,1,3,4,1245,WN,1
831,1,3,4,2130,WN,1
832,1,3,4,1010,WN,1
833,1,3,4,2050,WN,0
834,1,3,4,730,WN,1
835,1,3,4,1515,WN,0
836,1,3,4,1115,WN,1
837,1,3,4,1755,WN,0
840,1,3,4,2030,WN,0
841,1,3,4,1235,WN,1
842,1,3,4,1815,WN,0
843,1,3,4,1515,WN,1
844,1,3,4,1210,WN,0
845,1,3,4,2020,WN,0
846,1,3,4,705,WN,0
847,1,3,4,1435,WN,0
849,1,3,4,1955,WN,1
850,1,3,4,915,WN,0
851,1,3,4,1240,WN,1
852,1,3,4,630,WN,0
853,1,3,4,820,WN,0
854,1,3,4,1430,WN,0
855,1,3,4,1835,WN,1
856,1,3,4,750,WN,1
857,1,3,4,1845,WN,0
858,1,3,4,2055,WN,0
859,1,3,4,625,WN,1
860,1,3,4,1755,WN,1
861,1,3,4,1355,WN,0
862,1,3,4,1055,WN,0
863,1,3,4,2000,WN,0
864,1,3,4,1040,WN,0
865,1,3,4,755,WN,0
866,1,3,4,1915,WN,1
867,1,3,4,1305,WN,0
868,1,3,4,950,WN,0
869,1,3,4,735,WN,0
870,1,3,4,1815,WN,1
871,1,3,4,925,WN,1
872,1,3,4,1640,WN,0
873,1,3,4,1930,WN,0
874,1,3,4,825,WN,1
875,1,3,4,1000,WN,0
876,1,3,4,1755,WN,0
877,1,3,4,2125,WN,0
878,1,3,4,1855,WN,1
882,1,3,4,625,WN,0
883,1,3,4,805,WN,0
885,1,3,4,1655,WN,0
886,1,3,4,1305,WN,0
887,1,3,4,1740,WN,0
888,1,3,4,845,WN,0
889,1,3,4,1350,WN,1
890,1,3,4,2050,WN,0
891,1,3,4,620,WN,0
892,1,3,4,1625,WN,1
893,1,3,4,1040,WN,1
894,1,3,4,1105,WN,1
895,1,3,4,1845,WN,0
896,1,3,4,1150,WN,0
897,1,3,4,720,WN,0
899,1,3,4,1010,WN,1
900,1,3,4,2130,WN,1
903,1,3,4,1445,WN,1
904,1,3,4,1715,WN,0
905,1,3,4,1555,WN,0
906,1,3,4,1305,WN,1
907,1,3,4,645,WN,0
908,1,3,4,1135,WN,1
909,1,3,4,940,WN,0
910,1,3,4,1650,WN,0
912,1,3,4,2115,WN,0
913,1,3,4,1005,WN,0
914,1,3,4,2100,WN,0
915,1,3,4,1750,WN,0
916,1,3,4,1410,WN,0
917,1,3,4,620,WN,1
918,1,3,4,1630,WN,0
919,1,3,4,1415,WN,1
920,1,3,4,700,WN,0
921,1,3,4,920,WN,0
922,1,3,4,1210,WN,0
923,1,3,4,1855,WN,0
924,1,3,4,1635,WN,0
925,1,3,4,755,WN,0
926,1,3,4,1350,WN,1
928,1,3,4,1120,WN,0
932,1,3,4,825,WN,0
935,1,3,4,855,WN,1
936,1,3,4,1505,WN,1
937,1,3,4,1200,WN,1
939,1,3,4,1205,WN,1
940,1,3,4,1355,WN,1
941,1,3,4,1930,WN,1
942,1,3,4,2100,WN,1
943,1,3,4,1135,WN,1
944,1,3,4,1645,WN,1
945,1,3,4,945,WN,0
952,1,3,4,1635,WN,1
954,1,3,4,1400,WN,1
955,1,3,4,2010,WN,1
957,1,3,4,1645,WN,0
958,1,3,4,1230,WN,1
960,1,3,4,1240,WN,1
961,1,3,4,630,WN,1
962,1,3,4,1055,WN,1
964,1,3,4,1920,WN,0
965,1,3,4,1120,WN,1
966,1,3,4,1010,WN,1
967,1,3,4,1935,WN,1
968,1,3,4,1615,WN,0
969,1,3,4,1855,WN,0
970,1,3,4,1445,WN,0
971,1,3,4,1135,WN,1
972,1,3,4,2015,WN,0
973,1,3,4,930,WN,1
976,1,3,4,1520,WN,0
979,1,3,4,1750,WN,0
980,1,3,4,1220,WN,0
981,1,3,4,1930,WN,1
983,1,3,4,2050,WN,1
984,1,3,4,805,WN,0
985,1,3,4,1310,WN,1
986,1,3,4,1650,WN,1
987,1,3,4,1910,WN,1
988,1,3,4,630,WN,1
989,1,3,4,1015,WN,1
990,1,3,4,1940,WN,0
991,1,3,4,935,WN,0
992,1,3,4,1520,WN,0
994,1,3,4,1500,WN,0
995,1,3,4,2040,WN,1
996,1,3,4,1245,WN,0
1000,1,3,4,1945,WN,1
1002,1,3,4,1355,WN,1
1003,1,3,4,1125,WN,1
1004,1,3,4,1540,WN,0
1005,1,3,4,1630,WN,1
1006,1,3,4,2120,WN,0
1007,1,3,4,1745,WN,1
1008,1,3,4,1200,WN,1
1009,1,3,4,900,WN,1
1011,1,3,4,1530,WN,0
1012,1,3,4,2000,WN,0
1013,1,3,4,830,WN,1
1017,1,3,4,1730,WN,0
1018,1,3,4,1400,WN,0
1019,1,3,4,2100,WN,1
1020,1,3,4,1830,WN,1
1021,1,3,4,1600,WN,0
1023,1,3,4,1700,WN,1
1025,1,3,4,1100,WN,1
1026,1,3,4,800,WN,0
1027,1,3,4,1800,WN,0
1028,1,3,4,1900,WN,0
1029,1,3,4,755,WN,1
1030,1,3,4,1340,WN,1
1032,1,3,4,1425,WN,0
1034,1,3,4,1210,WN,0
1035,1,3,4,1715,WN,0
1036,1,3,4,1445,WN,0
1038,1,3,4,2000,WN,0
1039,1,3,4,2050,WN,1
1040,1,3,4,1705,WN,0
1041,1,3,4,1245,WN,1
1042,1,3,4,1850,WN,1
1047,1,3,4,1540,WN,1
1049,1,3,4,1650,WN,1
1050,1,3,4,615,WN,1
1051,1,3,4,2115,WN,1
1052,1,3,4,1940,WN,0
1053,1,3,4,1215,WN,0
1054,1,3,4,2050,WN,1
1055,1,3,4,1635,WN,1
1056,1,3,4,1300,WN,0
1058,1,3,4,1815,WN,0
1059,1,3,4,1125,WN,0
1061,1,3,4,1605,WN,0
1062,1,3,4,2040,WN,0
1063,1,3,4,740,WN,1
1064,1,3,4,1255,WN,0
1065,1,3,4,1650,WN,0
1068,1,3,4,1250,WN,0
1069,1,3,4,1430,WN,1
1070,1,3,4,955,WN,1
1071,1,3,4,1140,WN,0
1072,1,3,4,1745,WN,1
1073,1,3,4,1930,WN,0
1075,1,3,4,1330,WN,0
1076,1,3,4,1620,WN,0
1077,1,3,4,730,WN,1
1078,1,3,4,2010,WN,0
1083,1,3,4,1415,WN,1
1084,1,3,4,1145,WN,0
1086,1,3,4,1735,WN,1
1087,1,3,4,1655,WN,1
1088,1,3,4,2055,WN,0
1091,1,3,4,1300,WN,0
1092,1,3,4,2030,WN,0
1094,1,3,4,1015,WN,1
1095,1,3,4,1640,WN,0
1096,1,3,4,1850,WN,0
1097,1,3,4,2105,WN,1
1098,1,3,4,1630,WN,0
1100,1,3,4,1220,WN,0
1104,1,3,4,1405,WN,0
1105,1,3,4,1810,WN,1
1106,1,3,4,900,WN,0
1109,1,3,4,1655,WN,1
1110,1,3,4,1930,WN,0
1113,1,3,4,1910,WN,0
1115,1,3,4,1245,WN,1
1117,1,3,4,1830,WN,0
1118,1,3,4,1340,WN,1
1121,1,3,4,1855,WN,1
1123,1,3,4,1625,WN,0
1124,1,3,4,1305,WN,1
1126,1,3,4,1630,WN,0
1128,1,3,4,1720,WN,0
1131,1,3,4,1920,WN,1
1132,1,3,4,850,WN,1
1133,1,3,4,1430,WN,1
1134,1,3,4,1105,WN,1
1136,1,3,4,1750,WN,1
1137,1,3,4,1905,WN,0
1138,1,3,4,1145,WN,1
1139,1,3,4,625,WN,1
